H,H_error,folder,n_data,kind
0.5353258695629379,0.009060353550737463,chua_circuit,1000,Chua's Circuit
0.7709857654057012,0.010567901828084356,chua_circuit,2000,Chua's Circuit
0.9675398104128949,0.009964923505335597,chua_circuit,3000,Chua's Circuit
1.085668984227024,0.010035959808630972,chua_circuit,4000,Chua's Circuit
1.1615646877920165,0.0105503353285569,chua_circuit,5000,Chua's Circuit
0.6054196979203833,0.003391884389669362,white_noise,1000,White Noise
0.529148915370846,0.0024406783149347566,white_noise,2000,White Noise
0.6441943175485484,0.002495948408062128,white_noise,3000,White Noise
0.5172514427825584,0.002733818476841323,white_noise,4000,White Noise
0.5240710765300465,0.001953453538318945,white_noise,5000,White Noise
0.3961054719871734,0.004823928663244143,logistic_map,1000,Logistic Map
0.5076651821883428,0.0020802224833663062,logistic_map,2000,Logistic Map
0.4902851813727454,0.003292818290496208,logistic_map,3000,Logistic Map
0.4709594582107273,0.0022098934966273396,logistic_map,4000,Logistic Map
0.35126760754076675,0.00243386665811298,logistic_map,5000,Logistic Map
0.7341195949654912,0.00493664676356392,pink_noise,1000,Pink Noise
0.82476453480187,0.0057196444882950635,pink_noise,2000,Pink Noise
0.9149524699865803,0.003462277764048123,pink_noise,3000,Pink Noise
0.9630665583909049,0.00377880282360068,pink_noise,4000,Pink Noise
0.9857289596129544,0.004050957225372189,pink_noise,5000,Pink Noise
1.2355839384516096,0.008619260342950508,brown_noise,1000,Brown Noise
1.4301548091477838,0.006227073807724548,brown_noise,2000,Brown Noise
1.4859595317691792,0.00507730778113934,brown_noise,3000,Brown Noise
1.5268062150151553,0.004834361907791842,brown_noise,4000,Brown Noise
1.5743861624952762,0.0038808673662643913,brown_noise,5000,Brown Noise
0.41058796205847015,0.003526614891666786,blue_noise,1000,Blue Noise
0.5305947020578435,0.0029202628613238272,blue_noise,2000,Blue Noise
0.46793163295950047,0.0023715311138359342,blue_noise,3000,Blue Noise
0.34106586337907735,0.001400644379214952,blue_noise,4000,Blue Noise
0.12243407831783776,0.0007559441856786887,blue_noise,5000,Blue Noise
